Library,Requested_FS_Hz,Returned_Samples,Expected_Samples,Actual_Duration_s,Detected_R_Peaks,Mean_RR_s,Achieved_HR_BPM,Peak_Amplitude_au
NeuroKit2,100,1000,1000,10.0,11,0.882,68.03,1.1965
physioKIT,100,1000,1000,10.0,11,0.868,69.12,0.3927
NeuroKit2,250,2500,2500,10.0,12,0.8258,72.66,1.1949
physioKIT,250,2500,2500,10.0,11,0.8648,69.38,0.6423
NeuroKit2,500,5000,5000,10.0,12,0.8215,73.04,1.1976
physioKIT,500,5000,5000,10.0,11,0.866,69.28,0.4789
NeuroKit2,1000,10000,10000,10.0,12,0.8224,72.96,1.1992
physioKIT,1000,10000,10000,10.0,12,0.8495,70.63,0.7696
